Имя объекта;Тип объекта;Синоним;Файл
Справочник.КлючевыеОперации;Справочник;Ключові операції;Справочник_КлючевыеОперации.md
Справочник.КлючевыеРесурсы;Справочник;Ресурси;Справочник_КлючевыеРесурсы.md
Справочник.КлючевыеРесурсыПрисоединенныеФайлы;Справочник;Ключові ресурси приєднані файли;Справочник_КлючевыеРесурсыПрисоединенныеФайлы.md
Справочник.КлючиДоступа;Справочник;Ключі доступу;Справочник_КлючиДоступа.md
Справочник.КлючиИнтеграцийСИнтернетМагазином;Справочник;Ключі інтеграцій з інтернет магазином;Справочник_КлючиИнтеграцийСИнтернетМагазином.md
Справочник.КолонкиКалендарейСотрудников;Справочник;Стовпчики;Справочник_КолонкиКалендарейСотрудников.md
Справочник.Комиссии;Справочник;Комісії;Справочник_Комиссии.md
Справочник.КомплектацииНоменклатуры;Справочник;Комплектації;Справочник_КомплектацииНоменклатуры.md
Справочник.КонтактныеЛица;Справочник;Контакти;Справочник_КонтактныеЛица.md
Справочник.КонтактныеЛицаПрисоединенныеФайлы;Справочник;Приєднані файли (Контактні особи);Справочник_КонтактныеЛицаПрисоединенныеФайлы.md
Справочник.КонтактныеФормыGoogle;Справочник;Контактні форми;Справочник_КонтактныеФормыGoogle.md
Справочник.КонтактыЛидов;Справочник;Контакти лідів;Справочник_КонтактыЛидов.md
Справочник.Контрагенты;Справочник;Контрагенти;Справочник_Контрагенты.md
Справочник.КонтрагентыПрисоединенныеФайлы;Справочник;Приєднані файли (Контрагенти);Справочник_КонтрагентыПрисоединенныеФайлы.md
Справочник.КорректировкаПоступленияПрисоединенныеФайлы;Справочник;Приєднані файли (Коригування надходження);Справочник_КорректировкаПоступленияПрисоединенныеФайлы.md
Справочник.КорректировкаРеализацииПрисоединенныеФайлы;Справочник;Приєднані файли (Коригування реалізації);Справочник_КорректировкаРеализацииПрисоединенныеФайлы.md
Справочник.Лиды;Справочник;Ліди;Справочник_Лиды.md
Справочник.ЛидыПрисоединенныеФайлы;Справочник;Приєднані файли (Ліди);Справочник_ЛидыПрисоединенныеФайлы.md
Справочник.ЛицензииПоставщиковАлкогольнойПродукции;Справочник;Ліцензії постачальників алкогольної продукції;Справочник_ЛицензииПоставщиковАлкогольнойПродукции.md
Справочник.ЛицензионныеКарточкиТранспортныхСредств;Справочник;Ліцензійні картки транспортних засобів;Справочник_ЛицензионныеКарточкиТранспортныхСредств.md
Справочник.ЛьготыПоНДФЛ;Справочник;Пільги з ПДФО;Справочник_ЛьготыПоНДФЛ.md
Справочник.МакетыПечатныхФорм;Справочник;Макети друкованих форм;Справочник_МакетыПечатныхФорм.md
Справочник.МассоваяРассылкаПрисоединенныеФайлы;Справочник;Приєднані файли (Масове розсилання);Справочник_МассоваяРассылкаПрисоединенныеФайлы.md
Справочник.НаборыГруппДоступа;Справочник;Набори груп доступу;Справочник_НаборыГруппДоступа.md
Справочник.НаборыДополнительныхРеквизитовИСведений;Справочник;Набори додаткових реквізитів і відомостей;Справочник_НаборыДополнительныхРеквизитовИСведений.md
Справочник.НаборыЕдиницИзмерения;Справочник;Набори одиниць виміру;Справочник_НаборыЕдиницИзмерения.md
Справочник.НалоговыеИнспекции;Справочник;Податкові інспекції;Справочник_НалоговыеИнспекции.md
Справочник.НаправленияДеятельности;Справочник;Напрямки діяльності;Справочник_НаправленияДеятельности.md
Справочник.НастройкиАвторизацииИнтернетСервисов;Справочник;Налаштування авторизації Інтернет-сервісів;Справочник_НастройкиАвторизацииИнтернетСервисов.md
Справочник.НастройкиИнтеграцииСИнтернетМагазином;Справочник;Налаштування інтеграції з інтернет-магазином;Справочник_НастройкиИнтеграцииСИнтернетМагазином.md
